address,price,list_fee,sold_date,sqm,rooms,elevator,patio,new_production,balcony,gardet,kungsholmen,norrmalm,ostermalm,sodermalm,vasastan,latitude,longitude,distance_to_central_station
Ivan Oljelunds gränd 2,6570000,5647.0,2023-04-06,76.0,3.0,1,1,0,0,0,1,0,0,0,0,59.33424660000001,18.0434186,1.2 km
Essinge Brogata 15,2860000,2196.0,2023-04-06,38.0,2.0,1,0,0,0,0,1,0,0,0,0,59.32490910000001,18.0057031,3.8 km
Kungsklippan 5,5125000,2119.0,2023-04-06,46.0,1.5,1,0,0,0,0,1,0,0,0,0,59.3298046,18.0488542,0.8 km
Bågljusvägen 5,5445000,4012.0,2023-04-06,65.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3338385,18.0233828,2.4 km
Sysslomansgatan 11,4225000,2580.0,2023-04-06,43.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33075160000001,18.0248771,2.4 km
Bondegatan 46,3425000,1836.0,2023-04-06,32.0,1.0,1,0,0,1,0,0,0,0,1,0,59.31327179999999,18.0832102,3.0 km
Blekingegatan 57,3420000,2096.0,2023-04-06,36.0,1.5,1,0,0,0,0,0,0,0,1,0,59.3107098,18.0756952,2.9 km
Västmannagatan 54,5400000,1019.0,2023-04-06,50.0,2.0,1,1,0,0,0,0,0,0,0,1,59.341637,18.0481244,1.3 km
Lilla Västerbron 10,9900000,5014.0,2023-04-06,108.5,4.0,1,0,0,1,0,1,0,0,0,0,59.3311633,18.0231786,2.4 km
Karlbergsvägen 33B,6100000,3007.0,2023-04-06,57.0,2.0,1,0,0,1,0,0,0,0,0,1,59.34223309999999,18.0399971,1.8 km
Lagerlöfsgatan 4,4400000,3027.0,2023-04-06,50.0,2.0,1,0,0,1,0,1,0,0,0,0,59.3297141,18.019374,2.8 km
Gästrikegatan 11A,9000000,3259.0,2023-04-06,72.0,3.0,0,0,0,1,0,0,0,0,0,1,59.3412568,18.0390691,1.7 km
Färgargårdstorget 80,8400000,5333.0,2023-04-06,107.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3085366,18.0937516,4.0 km
Folkungagatan 78,11495000,6532.0,2023-04-06,110.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3146726,18.0786193,2.7 km
Östhammarsgatan 67,3125000,2598.0,2023-04-06,39.5,2.0,0,0,0,0,1,0,0,0,0,0,59.3437107,18.1115983,4.0 km
Karlbergsvägen 35 C,4500000,2070.0,2023-04-05,40.0,1.0,1,0,0,0,0,0,0,0,0,1,59.3421147,18.0398133,1.8 km
Birger Jarlsgatan 93B ,10400000,3718.0,2023-04-05,91.0,4.0,1,0,0,1,0,0,0,0,0,1,59.34707880000001,18.0608566,2.2 km
Birger Jarlsgatan 104K,4430000,2766.0,2023-04-05,43.0,1.5,0,0,0,0,0,0,0,1,0,0,59.347613,18.0628394,2.4 km
Tre Liljor 6,3930000,1797.0,2023-04-05,39.0,1.5,1,0,0,0,0,0,0,0,0,1,59.34745650000001,18.0453067,2.0 km
Karlbergsvägen 66A,10495000,4915.0,2023-04-05,95.7,3.0,0,0,0,1,0,0,0,0,0,1,59.34253700000001,18.0326529,2.1 km
Bastugatan 19,7500000,3125.0,2023-04-05,65.0,2.5,1,0,0,1,0,0,0,0,1,0,59.32020980000001,18.0620998,1.9 km
Pokalvägen 5,7350000,4221.0,2023-04-05,76.5,3.5,1,0,0,1,0,0,0,0,1,0,59.31852549999999,18.0212797,4.2 km
Hantverkargatan 44,8650000,4725.0,2023-04-05,81.0,3.0,1,0,0,1,0,1,0,0,0,0,59.32968839999999,18.0386945,1.5 km
Vikingagatan 7,7650000,3660.0,2023-04-05,71.0,3.0,1,0,0,0,0,0,0,0,0,1,59.34090599999999,18.0325718,2.0 km
Norra Stationsgatan 117,5550000,2952.0,2023-04-05,46.0,2.0,1,0,0,1,0,0,0,0,0,1,59.3438265,18.0285309,2.5 km
Celsiusgatan 8,4305000,2438.0,2023-04-05,43.5,2.0,1,0,0,1,0,1,0,0,0,0,59.3331495,18.0393295,1.4 km
Flintbacken 2,3320000,1832.0,2023-04-05,34.0,2.0,1,0,0,0,0,0,0,0,1,0,59.3106873,18.0501817,3.6 km
Lindhagensgatan 65,3920000,2993.0,2023-04-05,46.5,2.0,0,0,0,0,0,1,0,0,0,0,59.3332419,18.0165057,2.8 km
Högbergsgatan 50,4250000,1160.0,2023-04-05,45.0,2.0,1,0,0,1,0,0,0,0,1,0,59.31591859999999,18.0669287,2.1 km
Ernst Ahlgrens väg 3,3810000,2445.0,2023-04-05,43.0,2.0,0,0,0,1,0,1,0,0,0,0,59.3308262,18.0048693,3.5 km
Artemisgatan 69,3580000,2395.0,2023-04-05,37.0,2.0,0,0,0,1,1,0,0,0,0,0,59.35694909999999,18.0964858,4.3 km
Bergsgatan 3 A,7000000,2715.0,2023-04-05,64.0,2.0,0,0,0,1,0,1,0,0,0,0,59.32921700000001,18.046298,1.0 km
Ölandsgatan 46,4400000,2799.0,2023-04-05,42.0,2.0,1,0,0,1,0,0,0,0,1,0,59.3086095,18.0776095,3.1 km
Timmermansgränd 4,8100000,4373.0,2023-04-05,105.0,4.0,1,0,0,1,0,0,0,0,1,0,59.3126322,18.0628038,2.7 km
Primusgatan 82,4250000,3093.0,2023-04-05,44.5,2.0,1,0,0,1,0,1,0,0,0,0,59.3227523,18.0035496,4.1 km
Scheelegatan 28,9050000,3064.0,2023-04-05,78.0,3.0,1,0,0,0,0,1,0,0,0,0,59.3323745,18.0453475,1.0 km
Åsögatan 167A,6350000,3232.0,2023-04-05,55.0,2.0,0,0,0,1,0,0,0,0,1,0,59.3146667,18.0856365,2.9 km
Högalidsgatan 13B,6550000,3346.0,2023-04-05,66.0,2.5,1,0,0,0,0,0,0,0,1,0,59.3179291,18.0329719,3.5 km
Hornsbergs Strand 85,5670000,3307.0,2023-04-05,65.0,3.0,1,0,0,1,0,1,0,0,0,0,59.3392043,18.0041965,3.7 km
Blanchegatan 18,2950000,1597.0,2023-04-05,25.0,1.0,1,0,0,1,1,0,0,0,0,0,59.3434265,18.0983346,3.2 km
Tomtebogatan 13B,4750000,1801.0,2023-04-05,41.0,1.5,0,0,0,1,0,0,0,0,0,1,59.3409264,18.0342333,2.0 km
Lundagatan 52,3170000,1423.0,2023-04-05,25.0,1.0,0,0,0,1,0,0,0,0,1,0,59.3181957,18.0430302,3.1 km
Ola Hanssonsgatan 4,3215000,2956.0,2023-04-05,37.0,2.0,1,0,0,1,0,1,0,0,0,0,59.33460600000001,18.0011768,3.8 km
